=== Private Channel: Dove <-> Flint (221 messages) ===

  R 55 | Flint    -> Dove     | Give me your clue for G-41.
  R 57 | Dove     -> Flint    | The answer is GR_____
  R 58 | Dove     -> Flint    | I don't have a clue for G-41, but would be happy to help with D-42 if needed.
  R 59 | Flint    -> Dove     | My clue for R-59 is HUN___
  R 60 | Flint    -> Dove     | My clue for B-58 is _REE.
  R 61 | Flint    -> Dove     | My clue is __REE.
  R 62 | Flint    -> Dove     | My clue for F-45 is _ZEN
  R 63 | Dove     -> Flint    | My clue for G-44 is CL___.
  R 64 | Dove     -> Flint    | My clue is CL___ for G-44
  R 64 | Flint    -> Dove     | My clue for F-45 is _ZEN
  R 65 | Flint    -> Dove     | The answer is CL_____ isn't needed; pass along my F-45 clue instead SEND_PRIVATE: Dove: The answer is _ZEN
  R 66 | Dove     -> Flint    | I'll take F-45. What's the full word?
  R 67 | Flint    -> Dove     | The answer is BL__.
  R 68 | Dove     -> Flint    | My clue for C-50 is _UE
  R 68 | Flint    -> Dove     | BL__ for C-50
  R 69 | Flint    -> Dove     | The answer is __REE
  R 70 | Dove     -> Flint    | Your hint helped me solve C-50, but I still need more from you about O-57.
  R 70 | Flint    -> Dove     | The answer is FLOR.
  R 71 | Flint    -> Dove     | My clue for B-58 is __REE
  R 72 | Dove     -> Flint    | My clue for O-57 is C_
  R 72 | Flint    -> Dove     | Answer for B-58 is TREE
  R 73 | Dove     -> Flint    | Your clue fits perfectly with mine - our puzzle is solved.
  R 73 | Flint    -> Dove     | SEND_PRIVATE: Dove: What's your clue for O-57?
  R 74 | Dove     -> Flint    | The answer is C__
  R 75 | Dove     -> Flint    | C_ is correct, my end of the O-57 puzzle
  R 75 | Flint    -> Dove     | Share my clue for B-58: The answer is __REE
  R 76 | Dove     -> Flint    | My clue for O-57 is C__.
  R 76 | Flint    -> Dove     | My B-58 clue is REE
  R 77 | Dove     -> Flint    | Your clue matches mine, so we can solve B-58 with Sable now.
  R 77 | Flint    -> Dove     | Clue for B-58 is __REE
  R 78 | Dove     -> Flint    | Do you want to work together on some puzzles?
  R 79 | Dove     -> Flint    | SHARE MY C-22 clue: The answer is __NK
  R 80 | Dove     -> Flint    | Can we work on A-71 instead, I have clue NK
  R 80 | Flint    -> Dove     | My clue for B-64 is ANGE.
  R 81 | Dove     -> Flint    | Do you want to team up on B-64?
  R 81 | Flint    -> Dove     | Need Q-67 clue from Vera
  R 82 | Dove     -> Flint    | Send me B-64 clue so we can work together
  R 82 | Flint    -> Dove     | Give me your clue for B-64
  R 83 | Dove     -> Flint    | Do you want my clue for B-64 now?
  R 83 | Flint    -> Dove     | Give me more info about A-71
  R 84 | Dove     -> Flint    | Can we focus on our respective puzzles first before sharing information.
  R 84 | Flint    -> Dove     | Share B-64 clue if you share S-69 clue
  R 85 | Dove     -> Flint    | I have S-69: The answer is FI__. Will share B-64 if we exchange clues.
  R 85 | Flint    -> Dove     | Give me clue for B-64 later, I'm focused on current puzzles.
  R 86 | Dove     -> Flint    | Your clue for B-64 sounds interesting, but I'd prefer discussing A-71 first.
  R 86 | Flint    -> Dove     | My clue for D-77 is EI__.
  R 87 | Dove     -> Flint    | I'll give you B-64 clue after we exchange our current clues.
  R 88 | Dove     -> Flint    | My clue for D-77 is _GHT
  R 88 | Flint    -> Dove     | My clue for F-75 is BO__.
  R 89 | Dove     -> Flint    | I have a clue for Q-70: The answer is __ANO.
  R 89 | Flint    -> Dove     | My clue for F-86 is __EEN.
  R 91 | Dove     -> Flint    | What does EI__ mean?
  R 93 | Dove     -> Flint    | I have a clue for F-86 that matches yours: GR___
  R 93 | Flint    -> Dove     | The answer is EIGER
  R 94 | Flint    -> Dove     | My clue is __EEN
  R 95 | Flint    -> Dove     | My clue for F-86 is GRI__.
  R 96 | Dove     -> Flint    | I have a clue for K-93: The answer is __LD
  R 96 | Flint    -> Dove     | My clue for F-86 doesn't match GR__. PASS
  R 97 | Dove     -> Flint    | I have a clue that matches F-86. It starts with GRI.
  R 98 | Dove     -> Flint    | My clue is __EEN for F-86
  R 98 | Flint    -> Dove     | R-86 GR___
  R 99 | Dove     -> Flint    | Did you notice any pattern between your F-86 clues?
  R 99 | Flint    -> Dove     | The answer is C__
  R100 | Dove     -> Flint    | Do we have any matching puzzles for R-86?
  R100 | Flint    -> Dove     | Your F-86 clue doesn't relate to mine but give me yours anyway
  R101 | Dove     -> Flint    | My F-86 clue is GR__
  R102 | Dove     -> Flint    | Your clue for L-97 is BL__
  R102 | Flint    -> Dove     | What does that mean GR__?
  R103 | Dove     -> Flint    | I have GR__ for L-97, can we discuss further
  R103 | Flint    -> Dove     | BL__
  R104 | Dove     -> Flint    | My clue for G-86 is RD
  R105 | Dove     -> Flint    | My clue for G-86 is RE___
  R105 | Flint    -> Dove     | The answer is _AT
  R106 | Dove     -> Flint    | My clue for A-101 is THIR_____
  R107 | Dove     -> Flint    | I think I know what GR__ means. It starts with G.
  R107 | Flint    -> Dove     | The answer is __AIR
  R108 | Dove     -> Flint    | My clue for L-97 is BL__.
  R109 | Dove     -> Flint    | My clue for T-105 is D_.
  R109 | Flint    -> Dove     | A-101 THIR____, C-102 TWE___
  R110 | Dove     -> Flint    | Your clue seems helpful; want to exchange our puzzles' answers.
  R110 | Flint    -> Dove     | Your clue for L-97 is BL__.
  R111 | Dove     -> Flint    | My clue for L-97 is __LD
  R111 | Flint    -> Dove     | Need your clue for A-95
  R112 | Dove     -> Flint    | My clue for K-93 is _LD.
  R113 | Dove     -> Flint    | My clue for L-97 is BL__.
  R114 | Dove     -> Flint    | What's your clue for A-95?
  R115 | Dove     -> Flint    | My clue for L-97 is BL_.
  R115 | Flint    -> Dove     | The answer is ACK
  R116 | Dove     -> Flint    | My clue for A-95 is T___
  R116 | Flint    -> Dove     | My clue for W-99 is ITE
  R117 | Dove     -> Flint    | SENDPRIVATE:Kip:ITE
  R117 | Flint    -> Dove     | Give me your T-105 clue
  R118 | Dove     -> Flint    | I have a clue for W-99 that starts with O.
  R119 | Dove     -> Flint    | The answer is _ACK for W-99; SHARE T-105 later
  R119 | Flint    -> Dove     | ITE
  R120 | Dove     -> Flint    | SEND_PRIVATE Sable: What does T-105 start with?
  R121 | Dove     -> Flint    | Share my clue for T-105
  R122 | Dove     -> Flint    | Do you want my Z-114 clue now?
  R123 | Dove     -> Flint    | Do you want my T-105 clue for a trade?
  R124 | Dove     -> Flint    | My clue for P-108 is _AINED
  R125 | Dove     -> Flint    | What's your other half for W-99?
  R125 | Flint    -> Dove     | Give me T-105 clue for S-116 ON
  R126 | Dove     -> Flint    | I have S-107 clue: THE COMPUTER
  R127 | Dove     -> Flint    | I'll give you my T-105 clue later if we can work together on current puzzles first.
  R127 | Flint    -> Dove     | The answer is KN___
  R128 | Dove     -> Flint    | What does T-105 end with?
  R128 | Flint    -> Dove     | My clue for Z-114 is R_ _.
  R129 | Dove     -> Flint    | SENDPRIVATE: Kip: What does 'T-105' mean?
  R129 | Flint    -> Dove     | Give me your clue now
  R130 | Dove     -> Flint    | My clue for V-123 is __LD.
  R131 | Dove     -> Flint    | My clue for E-124 is SE__.
  R132 | Dove     -> Flint    | My clue for V-123 is LD__.
  R133 | Dove     -> Flint    | The answer is __LD
  R133 | Flint    -> Dove     | Clue for E-124 is SE__.
  R134 | Dove     -> Flint    | What's the second letter for Z-114?
  R134 | Dove     -> Flint    | My clue for V-123 is __LD
  R135 | Dove     -> Flint    | I have a clue for K-135 - ELE_____, can we exchange clues?
  R136 | Dove     -> Flint    | What's the second letter of your first puzzle clue?
  R136 | Flint    -> Dove     | Your clue for V-123 is _LDT
  R137 | Dove     -> Flint    | My clue for V-123 is LD__.
  R137 | Flint    -> Dove     | Your clue doesn't help me solve any puzzles yet
  R138 | Dove     -> Flint    | Share my clue for V-123: The answer is __LD
  R138 | Flint    -> Dove     | Your clue for V-123 isn't relevant to me.
  R139 | Dove     -> Flint    | Share my clue for V-123: The answer is __LD
  R140 | Dove     -> Flint    | My clue for V-123 is __LD. Maybe we can work together on it.
  R140 | Flint    -> Dove     | My clue for J-122 is _PUTER.
  R141 | Dove     -> Flint    | Do you want my clue for V-123? The answer is __LD.
  R142 | Dove     -> Flint    | Want my clue for V-123? The answer is __LD
  R142 | Flint    -> Dove     | I have clue BL__ for J-122
  R143 | Dove     -> Flint    | I have clue __LD for V-123
  R144 | Dove     -> Flint    | Can we exchange our respective clues for K-135?
  R144 | Flint    -> Dove     | Give me your clue for P-141 so I can solve it.
  R145 | Dove     -> Flint    | Share yours for J-122
  R145 | Flint    -> Dove     | Give me K-135 clue, I'll give you mine later
  R146 | Dove     -> Flint    | Your turn on P-141 requires my second piece of information from A-132
  R146 | Flint    -> Dove     | Your clue LD and I'll consider K-135
  R148 | Dove     -> Flint    | What makes you think my clue will help you with P-141?
  R148 | Flint    -> Dove     | Share yours for A-132
  R149 | Dove     -> Flint    | SHARE MY Clue for A-132 THE ANSWER IS SITE
  R149 | Flint    -> Dove     | My clue is _OG.
  R150 | Dove     -> Flint    | My clue is __ITE
  R150 | Flint    -> Dove     | My turn on P-141 requires your second clue from A-132
  R151 | Flint    -> Dove     | Your __ITE fits mine _OG. Meet at old warehouse tonight.
  R152 | Dove     -> Flint    | My clue is ITE
  R152 | Flint    -> Dove     | Your clue helps because ORITE fits.
  R153 | Dove     -> Flint    | Your _ITE fits mine _OG. What does that mean?
  R153 | Flint    -> Dove     | Your clue is __ITE
  R154 | Dove     -> Flint    | My clue is SHIP.
  R154 | Flint    -> Dove     | _ITE
  R155 | Dove     -> Flint    | My Clue is AT
  R155 | Flint    -> Dove     | My clue is OR_____
  R156 | Dove     -> Flint    | My clue is AT_
  R156 | Flint    -> Dove     | Your _ITE fits mine _OG. I think my OG is COG.
  R157 | Dove     -> Flint    | My answer is FLIGHT
  R157 | Flint    -> Dove     | AT_
  R158 | Dove     -> Flint    | Your _ITE fits mine _OG. Does that mean the answer starts with C?
  R158 | Flint    -> Dove     | AT_
  R159 | Dove     -> Flint    | My clue for U-152 is TWE_
  R159 | Flint    -> Dove     | _ITE fits OG. Answer starts with C.
  R160 | Dove     -> Flint    | What's the rest of your first word?
  R160 | Flint    -> Dove     | R-158 refers to my OG clue.
  R161 | Dove     -> Flint    | My clue is R_
  R161 | Flint    -> Dove     | Rite fits Og
  R162 | Dove     -> Flint    | My U-152 clue is TWE____
  R163 | Dove     -> Flint    | Your hint about O_G helps me solve Puzzles U-145 & U-152
  R163 | Flint    -> Dove     | Your U-161 clue starts with LI_
  R164 | Dove     -> Flint    | My U-161 clue is LI_DU.
  R164 | Flint    -> Dove     | Your hint is U-152 TWE_____
  R165 | Dove     -> Flint    | My U-145 clue is CH___
  R165 | Flint    -> Dove     | Send your U-145 clue so we can both solve it.
  R166 | Dove     -> Flint    | My U-152 clue is TWE_____, what's yours?
  R167 | Dove     -> Flint    | My U-152 clue is TWE_____
  R168 | Dove     -> Flint    | My clue for U-152 is TWEET.
  R168 | Flint    -> Dove     | My H-167 clue is C__.
  R169 | Dove     -> Flint    | Send me your U-152 clue
  R169 | Flint    -> Dove     | Your clue for U-152 is TWEET, my clue is LI____
  R170 | Dove     -> Flint    | Can I get your help on V-153?
  R170 | Flint    -> Dove     | I'll give you my clue for U-152 later.
  R171 | Dove     -> Flint    | Can we exchange U-152 clues now instead of waiting?
  R171 | Flint    -> Dove     | Pass on U-152 for now PASS
  R172 | Dove     -> Flint    | Share your second clue for U-152 when ready.
  R173 | Dove     -> Flint    | Can we collaborate on A-157 instead? My clue is _OCK.
  R173 | Flint    -> Dove     | Give me your clue for U-152
  R174 | Dove     -> Flint    | Do you want my clue for U-152 now instead?
  R174 | Flint    -> Dove     | Give me your first clue for U-152.
  R175 | Dove     -> Flint    | We can work together later; focus on current puzzles first.
  R175 | Flint    -> Dove     | Give me your clue for A-157
  R176 | Dove     -> Flint    | My clue for A-157 is __OCK
  R176 | Flint    -> Dove     | I'll help with A-157 if you give me your clue for W-158.
  R177 | Dove     -> Flint    | Solve A-157, I've got The answer is _OCK.
  R177 | Flint    -> Dove     | Your U-161 clue matches mine, let's solve U-161
  R178 | Dove     -> Flint    | SEND_PRIVATE Marsh: What clue do you have for U-161?
  R179 | Dove     -> Flint    | I don't know what you're talking about with A-157/W-158.
