=== Private Channel: Dove <-> Vera (195 messages) ===

  R  1 | Dove     -> Vera     | I'm here to help those in need, let's work together.
  R 39 | Dove     -> Vera     | Need help solving puzzles together.
  R 41 | Vera     -> Dove     | Which puzzles would you like to start working on first?
  R 42 | Dove     -> Vera     | Want to team up on E-24 & M-30?
  R 45 | Vera     -> Dove     | Share your clue for G-29.
  R 45 | Vera     -> Dove     | I'll share mine if you get yours from Sable.
  R 46 | Dove     -> Vera     | My clue for G-29 is _PLE
  R 47 | Dove     -> Vera     | Can we trade clues for M-30?
  R 48 | Vera     -> Dove     | Trade clues for M-30? What's yours?
  R 49 | Vera     -> Dove     | Trade clues for M-30 and give me your clue for P-39.
  R 49 | Dove     -> Vera     | Want to trade clues for M-30?
  R 50 | Dove     -> Vera     | Need your clue for L-33
  R 51 | Dove     -> Vera     | Do you want my clue for L-33 in exchange for yours?
  R 52 | Vera     -> Dove     | Give me your clue for L-33 now
  R 53 | Dove     -> Vera     | Clue for L-33: The answer is FI__
  R 54 | Dove     -> Vera     | I have L-54: THEPUS.
  R 55 | Vera     -> Dove     | My clue for Z-40 is ONic.
  R 55 | Dove     -> Vera     | My clue for J-37 is ED
  R 56 | Vera     -> Dove     | With my clue J-37: ER, we can solve that now
  R 57 | Vera     -> Dove     | I have Z-40: __ON.
  R 58 | Dove     -> Vera     | Do you want to solve S-41 together?
  R 84 | Dove     -> Vera     | Need your clue for W-69
  R 86 | Vera     -> Dove     | Send me your clue for W-69 so we can solve it.
  R 87 | Vera     -> Dove     | Do you also have the T-75 clue?
  R 88 | Vera     -> Dove     | My clue for W-69 isn't relevant now, focus on T-75
  R 88 | Dove     -> Vera     | I've got the T-75 clue. Want to meet up about trading?
  R 89 | Dove     -> Vera     | My clue for R-87 is COMPUTER.
  R 90 | Dove     -> Vera     | I have no clue for W-69, but I'd be happy to help on T-75 if you have your half!
  R 91 | Vera     -> Dove     | The answer is __VE
  R 91 | Dove     -> Vera     | I'll give you my clue for W-69 if you give me yours for T-75.
  R 92 | Dove     -> Vera     | I have the U-74 clue - The answer is KAN______.
  R 93 | Vera     -> Dove     | Give me your U-74 clue, then we can solve it together.
  R 93 | Dove     -> Vera     | I have the W-69 clue: THE_
  R 94 | Dove     -> Vera     | I'll give you my U-74 clue if you provide yours for D-76.
  R 95 | Vera     -> Dove     | Pass on D-76 for now. Focus on solving puzzles that benefit both of us.
  R 95 | Dove     -> Vera     | Pass on trading clue for now, focus on solving puzzles instead
  R 96 | Vera     -> Dove     | Need your W-69 and U-74 clues.
  R 96 | Dove     -> Vera     | My clue for D-76 is EI____
  R 97 | Vera     -> Dove     | Send yours for P-79
